feature,mean_reconstruction_error
feature4,214.68617397735093
feature2,23.03592132996713
feature15,8.480761959931796
feature10,6.845333382021259
feature7,6.1783734854986445
feature6,4.170542268150841
feature28,3.797480801216693
feature32,3.7363279877377007
feature31,3.413364617967151
feature3,3.064297832898188
feature5,3.0120437108809193
feature1,2.774742911643923
feature22,2.674208559924513
feature14,2.6206808352058935
feature18,2.4541327247509486
feature30,2.417745778828852
feature9,2.4024074340078183
feature19,2.362659082864354
feature17,2.0841466226990915
feature20,2.00641370350521
feature29,1.894423290991673
feature26,1.7588541831158062
feature11,1.742833642991955
feature12,1.6514227573748415
feature8,1.6152798869015599
feature16,1.4233539980568675
feature23,1.2284828006378297
feature24,1.178269747835505
feature21,1.1777795356915741
feature27,1.1669029748420896
feature25,0.9285774274366366
feature33,0.9101577764616594
feature13,0.33917137988301616
feature35,0.2367593919114659
feature34,0.0018474757011431003
