feature,mean_abs_shap
feature4,0.17442198718442675
feature10,0.015622212551882701
feature21,0.004531974630613649
feature2,0.002696888505416071
feature13,0.0020583888555917563
feature19,0.002055876960818747
feature7,0.0006584483073757216
feature6,0.000503696200998289
feature3,0.000492612930110179
feature11,0.00010166676116373283
feature8,5.146954795864554e-05
feature12,5.00987605865947e-05
feature9,3.893974003886546e-05
feature5,3.674778483268047e-05
feature23,2.9988149804130077e-05
feature14,2.5767358425012586e-05
feature28,2.462051871752496e-05
feature1,2.352866123114632e-05
feature30,1.7222305964770727e-05
feature20,1.646987354389096e-05
feature22,1.6389320535064252e-05
feature17,1.477772658338019e-05
feature18,1.4531064779297668e-05
feature29,1.4400808156988707e-05
feature26,1.274934978034522e-05
feature24,1.2424824613708771e-05
feature35,1.0415333475732606e-05
feature16,1.0136880250455128e-05
feature31,9.415817905524474e-06
feature27,9.099845263541037e-06
feature25,6.457112700317731e-06
feature32,1.8955680665282103e-06
feature15,2.3014202879154183e-07
feature33,1.4988874563072881e-10
feature34,0.0
