feature,mean_normal,mean_anomaly,z_score,abs_z
feature4,0.6498373086496366,0.4048667297346324,-16.527240307052544,16.527240307052544
feature21,0.6624299920520632,0.3706409696009705,-3.620656663425923,3.620656663425923
feature2,0.09504610181651987,0.2603542038116492,3.417644848080803,3.417644848080803
feature10,0.3249160780795678,0.7499627477279773,2.5819609089378894,2.5819609089378894
feature11,0.5710463515720925,0.3652910447711083,-1.8050075250765363,1.8050075250765363
feature17,0.49515,0.4035,-1.5830152477795982,1.5830152477795982
feature19,0.4482661205707554,0.25446402389804784,-1.3645425962957591,1.3645425962957591
feature6,0.7630098360674238,0.7019318398095168,-0.8842787371104693,0.8842787371104693
feature7,0.2494756138519376,0.36306295907737424,0.8837417281052001,0.8837417281052001
feature5,0.7037654296968762,0.6370332031346042,-0.7772670119236373,0.7772670119236373
feature22,0.6023751568162036,0.5388130489083778,-0.5206078214249614,0.5206078214249614
feature13,0.8036611875773009,0.7572331891506661,-0.4926515176792922,0.4926515176792922
feature20,0.5313465909086051,0.5879318181802664,0.4722421869238438,0.4722421869238438
feature15,0.41745,0.5,0.4446642872250273,0.4446642872250273
feature16,0.4190424501626698,0.45965527067130096,0.3501808174546303,0.3501808174546303
feature1,0.6356545454406479,0.6493157467403926,0.19220897402562795,0.19220897402562795
feature18,0.4208312638615251,0.4008348115337358,-0.17397253108563152,0.17397253108563152
feature12,0.4810941666703435,0.49034166667049794,0.07106346081911707,0.07106346081911707
feature8,0.5215650993428675,0.5149403973560802,-0.06830285676407655,0.06830285676407655
feature25,0.5513883343751239,0.5607634687501252,0.055020422172804125,0.055020422172804125
feature28,0.4246254874999847,0.4184923802083173,-0.053306752965817314,0.053306752965817314
feature9,0.629896251269638,0.6251833839950559,-0.05173689544640645,0.05173689544640645
feature32,0.5384923100552521,0.5389230792848393,0.039011715996547944,0.039011715996547944
feature23,0.6387206114550752,0.6430729413697586,0.03845622017074025,0.03845622017074025
feature30,0.47066081676530613,0.46560084876590624,-0.03737102214908906,0.03737102214908906
feature29,0.5144994462569098,0.5193994950063008,0.036022290889184114,0.036022290889184114
feature35,0.5026499999998864,0.5039999999998863,0.03584807589717711,0.03584807589717711
feature27,0.41576220280509596,0.42020248006203,0.032103943370505574,0.032103943370505574
feature26,0.49253843020434607,0.4959984210949782,0.02548363622597472,0.02548363622597472
feature14,0.49547391304596383,0.49756521739365417,0.018636182304411397,0.018636182304411397
feature33,0.9998499999999476,1.0,0.014141509516592777,0.014141509516592777
feature31,0.4935626286717367,0.49540253699685105,0.01344742046927408,0.01344742046927408
feature24,0.5276399469990026,0.5260000625011682,-0.01207178431622689,0.01207178431622689
feature3,0.6592344680828275,0.6589999999981592,-0.0032681576139031335,0.0032681576139031335
feature34,0.0,0.0,0.0,0.0
