feature,coefficient,abs_coefficient
feature4,-0.09885285594879159,0.09885285594879159
feature6,-0.009717752302325723,0.009717752302325723
feature2,0.003029737045255644,0.003029737045255644
feature7,-0.0023811360938082206,0.0023811360938082206
feature21,-0.000983821515004646,0.000983821515004646
feature11,-0.0006600974723507986,0.0006600974723507986
feature15,0.0006528333611820061,0.0006528333611820061
feature17,-0.0006193488362260849,0.0006193488362260849
feature18,-0.0006080596482492292,0.0006080596482492292
feature5,-0.0005457931992665444,0.0005457931992665444
feature9,-0.0005095118648534322,0.0005095118648534322
feature3,0.0005066521186633532,0.0005066521186633532
feature10,0.00046139981793050076,0.00046139981793050076
feature13,0.0002775485700927807,0.0002775485700927807
feature27,0.00024880369601706616,0.00024880369601706616
feature8,-0.00024244282363790548,0.00024244282363790548
feature31,-0.0002057904489467984,0.0002057904489467984
feature22,-0.00015990369005616017,0.00015990369005616017
feature35,-0.000158780448958597,0.000158780448958597
feature19,-0.000149298809343332,0.000149298809343332
feature14,-0.0001389752608696669,0.0001389752608696669
feature26,-0.00013148806895148447,0.00013148806895148447
feature1,-0.00012000170147713073,0.00012000170147713073
feature25,-0.00010733943255089203,0.00010733943255089203
feature33,9.056694090402546e-05,9.056694090402546e-05
feature24,8.682044605057805e-05,8.682044605057805e-05
feature20,8.344539062771239e-05,8.344539062771239e-05
feature30,7.664887476376533e-05,7.664887476376533e-05
feature32,-7.353677616906691e-05,7.353677616906691e-05
feature16,-5.4123503874705154e-05,5.4123503874705154e-05
feature12,-4.334056197746037e-05,4.334056197746037e-05
feature23,-3.2401487933602455e-05,3.2401487933602455e-05
feature28,1.946958272817761e-05,1.946958272817761e-05
feature29,1.3476124621139872e-05,1.3476124621139872e-05
feature34,0.0,0.0
