feature,importance
feature10,0.2830869031502229
feature19,0.15857724204850837
feature2,0.14246913948703482
feature7,0.1312238303270546
feature21,0.07036495556547993
feature11,0.054611238934078335
feature6,0.05151438703849458
feature13,0.03673779914284063
feature5,0.010852449866493119
feature15,0.007201587748578908
feature3,0.006793538439802037
feature1,0.005310713386298988
feature8,0.00488358619832878
feature9,0.004779818853494109
feature18,0.004574111833201619
feature14,0.0033924021215548635
feature16,0.002847176218968784
feature22,0.002511886606537767
feature20,0.002240897779293995
feature12,0.002187925997230767
feature17,0.0021509401294926805
feature27,0.0013804177253800463
feature23,0.0013499174149429946
feature31,0.0013340281456304475
feature28,0.001314034450177963
feature29,0.0013128037175309355
feature24,0.001261771277200064
feature26,0.0012477682640303195
feature30,0.0012396132800398156
feature25,0.0012223253587225896
feature35,2.461723582001642e-05
feature32,1.6701368060780503e-07
feature33,5.243853544199888e-09
feature34,0.0
