feature,importance
feature4,0.36569256
feature19,0.31303456
feature21,0.10464582
feature10,0.09256016
feature2,0.077831395
feature7,0.016606702
feature13,0.01186807
feature6,0.010352887
feature11,0.003686747
feature3,0.0027621477
feature20,0.0006503103
feature9,0.00016802942
feature14,0.00014059975
feature1,0.0
feature5,0.0
feature15,0.0
feature16,0.0
feature8,0.0
feature12,0.0
feature18,0.0
feature17,0.0
feature22,0.0
feature23,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
