feature,importance
feature4,0.9302118686405578
feature21,0.026596040538965703
feature10,0.02649889179299134
feature7,0.007069667440736724
feature19,0.004025547354318321
feature2,0.002101068558010983
feature13,0.0014521282034779379
feature6,0.0010157121117762556
feature3,0.00043797978876619387
feature11,0.00024582566671865725
feature14,7.676356517439812e-05
feature1,5.2259126367418356e-05
feature12,4.5476163730953643e-05
feature5,4.446325542867715e-05
feature8,3.343863611180852e-05
feature20,1.7825978971013622e-05
feature26,1.1266582583389808e-05
feature16,1.0561576902707039e-05
feature23,9.675159062043403e-06
feature29,9.60683330861974e-06
feature9,8.29029256156303e-06
feature31,6.1641440025028396e-06
feature18,4.893894204513893e-06
feature22,4.8179327907131905e-06
feature30,3.2182329246899714e-06
feature24,3.1685187026823267e-06
feature27,9.80549930516547e-07
feature35,7.145233223673252e-07
feature28,5.954586128487362e-07
feature17,5.812220950811351e-07
feature25,3.937180478316764e-07
feature15,1.1453884375985276e-07
feature32,0.0
feature33,0.0
feature34,0.0
