feature,importance
feature4,0.9484643431010537
feature10,0.019652284927025258
feature21,0.014045586410523813
feature2,0.006165308348924699
feature7,0.005616989790523638
feature19,0.002721447898338311
feature13,0.001340404202448199
feature6,0.0011167915561147146
feature3,0.0005815136889167203
feature11,0.00013282034581890535
feature22,3.682584436443133e-05
feature8,2.041646503874879e-05
feature1,1.9756149067753785e-05
feature16,1.943276343149355e-05
feature9,1.4539200917813834e-05
feature5,1.2996536163830602e-05
feature27,6.6829720578984385e-06
feature14,6.342161587924255e-06
feature28,6.273714166239996e-06
feature15,3.94608759025135e-06
feature12,3.114063725574679e-06
feature31,2.9515491918409066e-06
feature23,1.666998991009334e-06
feature29,1.5714721038469974e-06
feature25,1.4247539380717715e-06
feature17,1.326843861395975e-06
feature30,1.1019160884904339e-06
feature18,8.354391167667268e-07
feature24,7.10615150852401e-07
feature20,5.94183757631229e-07
feature26,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
