feature,coefficient,abs_coefficient
feature1,0.0,0.0
feature2,0.0,0.0
feature3,0.0,0.0
feature4,0.0,0.0
feature5,0.0,0.0
feature6,0.0,0.0
feature7,0.0,0.0
feature8,0.0,0.0
feature9,0.0,0.0
feature10,0.0,0.0
feature11,0.0,0.0
feature12,0.0,0.0
feature13,0.0,0.0
feature14,0.0,0.0
feature15,0.0,0.0
feature16,0.0,0.0
feature17,0.0,0.0
feature18,0.0,0.0
feature19,0.0,0.0
feature20,0.0,0.0
feature21,0.0,0.0
feature22,0.0,0.0
feature23,0.0,0.0
feature24,0.0,0.0
feature25,0.0,0.0
feature26,0.0,0.0
feature27,0.0,0.0
feature28,0.0,0.0
feature29,0.0,0.0
feature30,0.0,0.0
feature31,0.0,0.0
feature32,0.0,0.0
feature33,0.0,0.0
feature34,0.0,0.0
feature35,0.0,0.0
feature36,0.0,0.0
feature37,0.0,0.0
feature38,0.0,0.0
feature39,0.0,0.0
feature40,0.0,0.0
feature41,0.0,0.0
feature42,0.0,0.0
feature43,0.0,0.0
feature44,0.0,0.0
