feature,coefficient,abs_coefficient
feature4,-0.09616616985061657,0.09616616985061657
feature6,-0.010344857192877263,0.010344857192877263
feature2,0.0027462071005810848,0.0027462071005810848
feature7,-0.0020719891208790388,0.0020719891208790388
feature11,-0.0009522580286940179,0.0009522580286940179
feature10,0.0009141809683390914,0.0009141809683390914
feature21,-0.000860053007812727,0.000860053007812727
feature15,0.0005984213724845041,0.0005984213724845041
feature17,-0.0005874050417096131,0.0005874050417096131
feature5,-0.0005674615092805154,0.0005674615092805154
feature3,0.0005599675326891729,0.0005599675326891729
feature18,-0.0005535879916953596,0.0005535879916953596
feature9,-0.0004980511836902609,0.0004980511836902609
feature27,0.00027277736830466295,0.00027277736830466295
feature8,-0.00022298213992372906,0.00022298213992372906
feature1,-0.00019238519227472733,0.00019238519227472733
feature22,-0.00018843055297235425,0.00018843055297235425
feature35,-0.0001723616899435249,0.0001723616899435249
feature26,-0.00016564424694528654,0.00016564424694528654
feature31,-0.00016286245011198748,0.00016286245011198748
feature20,0.0001396291841197819,0.0001396291841197819
feature13,0.00012975921567103286,0.00012975921567103286
feature25,-0.00012794922750286825,0.00012794922750286825
feature33,9.602322842601482e-05,9.602322842601482e-05
feature14,-9.550699882309916e-05,9.550699882309916e-05
feature24,9.472531682853614e-05,9.472531682853614e-05
feature30,7.042400240600628e-05,7.042400240600628e-05
feature32,-6.860232205304235e-05,6.860232205304235e-05
feature12,-6.788159043280043e-05,6.788159043280043e-05
feature16,-6.684388965931949e-05,6.684388965931949e-05
feature23,-6.320877720574413e-05,6.320877720574413e-05
feature28,-2.078403624413407e-05,2.078403624413407e-05
feature19,-6.838105916637e-07,6.838105916637e-07
feature29,-3.259650320804659e-08,3.259650320804659e-08
feature34,0.0,0.0
