feature,importance
feature10,0.46361566458373377
feature19,0.412166109604241
feature2,0.05734363694173343
feature7,0.03595969648475066
feature13,0.019469116332123438
feature6,0.009681184485912214
feature21,0.001200195444968599
feature11,0.0005638672456058134
feature3,5.141064021885565e-07
feature9,1.3572227909885282e-08
feature5,1.1983010465341155e-09
feature1,0.0
feature14,0.0
feature8,0.0
feature15,0.0
feature16,0.0
feature17,0.0
feature12,0.0
feature18,0.0
feature20,0.0
feature22,0.0
feature23,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
