feature,importance
feature19,0.48536092
feature10,0.18952428
feature2,0.106022805
feature6,0.05367005
feature13,0.03763989
feature7,0.036942445
feature11,0.03523682
feature21,0.03469852
feature15,0.017494496
feature3,0.0017801534
feature5,0.0009319208
feature8,0.0006871176
feature1,1.0565762e-05
feature9,0.0
feature14,0.0
feature16,0.0
feature17,0.0
feature12,0.0
feature18,0.0
feature20,0.0
feature22,0.0
feature23,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
