feature,importance
feature4,0.601995621521583
feature19,0.13759203684657031
feature2,0.09141593780005414
feature10,0.08473681812477206
feature7,0.04045305747028303
feature21,0.02351967825015021
feature6,0.007511486629109227
feature11,0.005221899573814601
feature13,0.004770115222872251
feature3,0.0009565663731479046
feature15,0.0004242813624460401
feature1,0.00017883001766202055
feature5,0.00017130075966960388
feature8,0.00014612060167775204
feature9,0.00013554110805026533
feature14,9.771446928410347e-05
feature18,8.681362119782893e-05
feature12,8.238005685673149e-05
feature16,6.273811808091804e-05
feature22,4.8645468622850675e-05
feature20,4.517285053414738e-05
feature17,4.439396000967601e-05
feature27,4.130995445353235e-05
feature26,4.075799208149666e-05
feature29,3.748431138682759e-05
feature23,3.70979255991072e-05
feature24,3.312968920527826e-05
feature28,2.919969599843163e-05
feature30,2.8596474586494573e-05
feature31,2.836776493431555e-05
feature25,2.6395004260253148e-05
feature35,5.054033902148468e-07
feature33,3.1468992045293694e-09
feature32,2.430756167013856e-09
feature34,0.0
