feature,importance
feature4,0.9628327336250831
feature10,0.01470109413625728
feature7,0.010354632148515092
feature21,0.005489342702819417
feature13,0.0031469951807666877
feature19,0.0013024829129653392
feature6,0.000926999427839007
feature3,0.000504689195696486
feature2,0.0004985862694402414
feature11,0.0001298765333960084
feature8,2.07284625842557e-05
feature18,1.778174176915259e-05
feature12,1.5580301120940337e-05
feature14,1.5200296203048727e-05
feature31,9.611453436550943e-06
feature28,8.085523130593174e-06
feature5,5.789997494099166e-06
feature25,5.277133579792783e-06
feature1,3.0881517440116774e-06
feature24,3.0551697080674583e-06
feature22,2.3464105004650817e-06
feature16,1.8226280451943038e-06
feature26,1.1862372125514748e-06
feature20,1.174264146392062e-06
feature30,7.930131845241017e-07
feature9,6.984552979566825e-07
feature29,1.609434963649578e-07
feature23,6.494250013232336e-08
feature15,4.599657702327432e-08
feature27,4.4739302371689285e-08
feature17,3.2006187704912246e-08
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
